experiment,artifact,dataset,family,model,seeds,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,roc_auc,roc_auc_std,train_time_s,train_time_std_s,predict_time_s,predict_time_std_s,n_train,n_test,n_features,n_qubits
FAST_MODELS,fast_models_ids2012,ids2012,knn,photonic_hybrid_knn_angle,3,0.9936666666666666,0.000849836585598791,0.9910503599558709,0.0016103258402124917,0.9963333333333333,0.0004714045207910321,0.993684114083497,0.0008429086067953441,0.9957378333333334,0.001041696719566454,1.882590570334287,0.030392586082754355,0.6191701653321312,0.005476330465641982,14906,2000,120,
FAST_MODELS,fast_models_ids2012,ids2012,knn,photonic_hybrid_knn_amplitude,3,0.9931666666666666,0.00023570226039554222,0.9900687246697363,0.0015862226506285916,0.9963333333333333,0.0020548046676563273,0.9931878282153166,0.0002459454696156173,0.9955570000000001,0.0004632342819783248,1.7690520556643605,0.01342745742555028,0.6063009740003812,0.007656558015056973,14906,2000,10,
FAST_MODELS,fast_models_ids2012,ids2012,knn,photonic_state_knn_angle,3,0.9935,0.0008164965809277267,0.9917034199119305,0.0020216144784334098,0.9953333333333333,0.0016996731711975965,0.993512207510117,0.0008114904843791269,0.995899,0.0008324209672194715,2.564661962668955,0.026531993232520146,0.7603092000014536,0.016225336461531875,14906,2000,10,
FAST_MODELS,fast_models_url2016,url2016,svm,svm_classical,3,0.9496666666666668,0.0037932688922469914,0.9636177260378703,0.006493249471529255,0.9346666666666668,0.0040276819911981634,0.948906230990645,0.0037723853754768827,0.9889433333333333,0.0012616527740318228,0.6645993403338556,0.03296406023595861,0.2311413626691016,0.002979423208913965,13562,2000,10,
FAST_MODELS,fast_models_url2016,url2016,svm,state_svm_angle,3,0.9248333333333334,0.006980130530457299,0.952752022237882,0.007306351636901511,0.8940000000000001,0.007257180352359087,0.9224403411588654,0.007218765311069459,0.9810003333333333,0.003070722019692181,8.881841238331011,0.03815498206846039,1.5164898003349663,0.01298017412953317,13562,2000,10,10
FAST_MODELS,fast_models_url2016,url2016,svm,state_svm_amplitude,3,0.9,0.0043011626335213386,0.9092738800897888,0.004011328712416456,0.8886666666666666,0.004921607686744471,0.8988511818918457,0.0044045348613589805,0.9645786666666667,0.002685170954623871,3.424897846331684,0.021895570442248997,0.5080154076664863,0.004197898226739605,13562,2000,10,4
FAST_MODELS,fast_models_url2016,url2016,svm,hybrid_svm_angle,3,0.9405,0.005887840577551903,0.968778912178396,0.0035596344631321276,0.9103333333333333,0.010208928554075711,0.9386230021127222,0.006325922571899669,0.9857908333333335,0.002286360365782803,4.680288074998923,0.152004237161119,0.8423066946682715,0.009798152420972244,13562,2000,10,10
FAST_MODELS,fast_models_url2016,url2016,svm,hybrid_svm_amplitude,3,0.9101666666666666,0.00368178700572909,0.9396203618492662,0.0026592376986685658,0.8766666666666666,0.006182412330330475,0.9070434873944234,0.004030362106522273,0.9713828333333333,0.0005172159982916477,3.31322233100218,0.031194303382086855,0.6387944296681477,0.07521735474690258,13562,2000,10,4
FAST_MODELS,fast_models_url2016,url2016,svm,photonic_hybrid_svm_angle,3,0.9573333333333333,0.0037932688922470434,0.9712055319690885,0.003951737963560457,0.9426666666666667,0.010656244908763816,0.9566713084786177,0.0041428504880012445,0.986906,0.0005026242798220025,1.4766666010012461,0.08438470772144496,0.5376734299982976,0.0030169182303338166,13562,2000,120,
FAST_MODELS,fast_models_url2016,url2016,svm,photonic_hybrid_svm_amplitude,3,0.915,0.004813176359397907,0.9427738518991801,0.006777331605949116,0.8836666666666666,0.0038586123009300786,0.9122575740360044,0.004828592621575169,0.9802209999999999,0.0028246159325946013,0.9544420983365853,0.033473072662123335,0.3150806280003356,0.0018082148145921089,13562,2000,10,
FAST_MODELS,fast_models_url2016,url2016,svm,photonic_state_svm_angle,3,0.9306666666666666,0.0051693541397569535,0.9627351711951561,0.0034964603552771717,0.896,0.007257180352359087,0.9281648785996612,0.005516650084977943,0.9817903333333334,0.0031891139399874697,1.9397823786663746,0.016344578684325147,0.32531869733308366,0.0017150852994578165,13562,2000,10,
FAST_MODELS,fast_models_url2016,url2016,knn,knn_classical,3,0.9860000000000001,0.0008164965809277267,0.9847136015528188,0.0016397222104641447,0.9873333333333334,0.0026246692913372725,0.9860175879432186,0.0008318235110339846,0.9945148333333332,0.000453320404227368,0.010475503663959293,0.00017364730076899464,0.031059623999074876,0.0006203255422580488,13562,2000,10,
FAST_MODELS,fast_models_url2016,url2016,knn,state_knn_angle,3,0.9778333333333333,0.0016996731711975965,0.9729581915797928,0.002955115547784557,0.983,0.0029439202887759515,0.9779473626698256,0.0016906587068318863,0.991835,0.00033088240610026513,2.4880408569976376,0.045637947651408724,1.8069539353333919,0.024679174447744864,13562,2000,10,10
FAST_MODELS,fast_models_url2016,url2016,knn,state_knn_amplitude,3,0.9776666666666668,0.0016499158227685862,0.9733311486068282,0.006961234574987755,0.9823333333333334,0.004784233364802446,0.9777773354751726,0.0015456581255575942,0.9923893333333335,0.00018862499539793186,1.758293200332749,0.049529841962971444,0.9840984989981129,0.05747288034799573,13562,2000,10,4
FAST_MODELS,fast_models_url2016,url2016,knn,hybrid_knn_angle,3,0.9838333333333334,0.0014337208778404606,0.981435806898871,0.001951605961768287,0.9863333333333334,0.004027681991198195,0.9838705411164428,0.001462624258701006,0.9942736666666666,0.0005365273110994053,3.9308016133339456,0.09305071854650104,0.6254972896664791,0.005652443373912453,13562,2000,10,10
FAST_MODELS,fast_models_url2016,url2016,knn,hybrid_knn_amplitude,3,0.9784999999999999,0.0028577380332470695,0.9764423145759134,0.0024177820070894526,0.9806666666666667,0.005436502143433369,0.9785404719941099,0.002890021225887484,0.9922178333333335,0.0007914919807272871,2.2737860186680336,0.05652479856701702,0.3782787343322222,0.047569950187697656,13562,2000,10,4
FAST_MODELS,fast_models_url2016,url2016,knn,photonic_hybrid_knn_angle,3,0.984,0.0010801234497346615,0.9801642462870256,0.0013239041292265287,0.988,0.003265986323710907,0.9840615139067187,0.0011069793141317234,0.9922766666666667,0.00012388188819278416,1.5390275060005176,0.02328378104136491,0.5800452893357336,0.006858855668542554,13562,2000,120,
FAST_MODELS,fast_models_url2016,url2016,knn,photonic_hybrid_knn_amplitude,3,0.9819999999999999,0.0012247448713915902,0.9775633012282786,0.003137785079754113,0.9866666666666667,0.0041096093353126546,0.9820819104247412,0.0012393281402852561,0.9922496666666666,0.0009366665480427461,1.4752052796660184,0.019608247848788403,0.5676960243314776,0.010117913974632495,13562,2000,10,
FAST_MODELS,fast_models_url2016,url2016,knn,photonic_state_knn_angle,3,0.9831666666666666,0.0012472191289246482,0.9795014887827159,0.0025244275745830275,0.987,0.0029439202887759515,0.9832304074281731,0.0012473447147384562,0.9916301666666666,0.00024497800354768393,2.1179778706646175,0.03634014147948,0.6889698823336706,0.010180248597344095,13562,2000,10,
